Address,Price,Daft URL
"Blessington Street, Dublin 7",1450,https://www.daft.ie/for-rent/apartment-blessington-street-dublin-7/3219380
"Amiens Street, Dublin 1",1450,https://www.daft.ie/for-rent/apartment-amiens-street-dublin-1/3255239
"Apt 37, 33 North Great Georges Street, Dublin 1",1475,https://www.daft.ie/for-rent/apartment-apt-37-33-north-great-georges-street-dublin-1/3275827
"Apartment 3, Bolton Square, Dublin 1",1475,https://www.daft.ie/for-rent/apartment-apartment-3-bolton-square-dublin-1/3210961
"Apt 37, 33 North Great Georges Street, Dublin 1",1475,https://www.daft.ie/for-rent/apartment-apt-37-33-north-great-georges-street-dublin-1/3275827
"Apartment 3, Bolton Square, Dublin 1",1475,https://www.daft.ie/for-rent/apartment-apartment-3-bolton-square-dublin-1/3210961
"Amiens Square, Dublin 1",1485,https://www.daft.ie/for-rent/apartment-amiens-square-dublin-1/3267929
"Kings Inn Street, Dublin 1",1490,https://www.daft.ie/for-rent/apartment-kings-inn-street-dublin-1/3262204
"Apartment 121, Bachelors Walk Apartments Bachelors Walk, Dublin 1",1495,https://www.daft.ie/for-rent/apartment-apartment-121-bachelors-walk-apartments-bachelors-walk-dublin-1/3271155
"76 Gresham House, The O'Casey, Cathal Brugha St, Dublin 1",1495,https://www.daft.ie/for-rent/apartment-76-gresham-house-the-ocasey-cathal-brugha-st-dublin-1/2943221
"54 Bachelors Walk, Dublin 1",1499,https://www.daft.ie/for-rent/apartment-54-bachelors-walk-dublin-1/3209713
"Liffey Walk, North Lotts, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-liffey-walk-north-lotts-dublin-1/3224964
"Marlborough Court, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-marlborough-court-dublin-1/3254051
"Apartment 11, Block 1, Custom Hall, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-apartment-11-block-1-custom-hall-dublin-1/3251263
